surgery_boat,fish_number,tag_date,species,location_hooked,basin,surgeon,time_hooked,landed,transfered,surgery_start,surgery_end,release,latitude,longitude,tens_setting,tl,fl,girth,weight,sex,scales,fin,flou_tag_colour,gray_floy_tag_number,vemco_tag,est_life,min_delay,max_delay,acc_sampling_rate_hz,power,acc_on_sec,vemco_type,vemco_id,transmitter_serial,angler,photo,comments,nest_tag,stomach_pumped,Removed
Jason,6,28-May-18,LMB,Red Trout Bay,West Basin,Jason,11:04:00,,,,,11:08:00,45.83438783,-74.74550171,,410,,,,M,yes,yes,grey,07003,V13,1130,80,160,,L,,T/P,14553,1294352,"Jason White 3""wor",,very aggressive,Z29,,
Laine,2,27-May-18,LMB,Courrier Lake,Main Basin,Ben,10:45:00,10:46:00,,11:02:00,11:11:00,11:14:00,45.78953257,-74.75937329,2,425,410,270,,F,yes,yes,grey,07043,V13,1130,80,160,,L,,T/P,14555,1294353,David Philpp-white crankbait,yes,,,,
Ben,17,3-Jun-18,LMB,Mills shore - North,West Basin,Ben,12:29:00,12:29:30,,12:33:45,12:38:15,,,,2,405,395,245,,M,yes,yes,grey,07033,V13,1130,80,160,,L,,T/P,14577,1294364,Pete - White fluke,no,,DP02,,
Ben,16,3-Jun-18,LMB,Opposite side from Chalet Mills,West Basin,Ben,12:15:00,12:15:30,12:18:00,12:19:40,12:25:30,12:30:00,,,2,425,415,238,,M,yes,yes,grey,07034,V13,1130,80,160,,L,,T/P,14579,1294365,Laine-White Fluke,no,Abrasion under Rt opercule,DP01,,
Ben,4,28--May-18,LMB,Submarine Bay,Main Basin,Ben,09:30:00,09:31:00,,10:41:00,10:46:00,10:50:12,45.818082,-74.75609403,2,495,475,310,,F,yes,yes,grey,07040,V13,1130,80,160,,L,,T/P,14581,1294366,David Phillp-white chrankbait,yes,Not spawned yet,,,
Jason,10,30-May-18,LMB,Hemlock lake,West Basin,Jason,16:13:30,16:14:00,,16:14:30,16:21:25,16:24:45,,,2,390,380,260,,M,yes,yes,grey,07009,V13,1130,80,160,,L,,T/P,14589,1294370,Jason - White Senko,,"Heavy predation, free swimming fry. Nest guarded by Laine",T001,,
Jason,13,30-May-18,LMB,Hemlock lake,West Basin,Jason,17:00:00,17:01:00,,18:07:30,18:12:25,18:16:00,,,2,405,395,260,,F,yes,yes,grey,07013,V13,1130,80,160,,L,,T/P,14591,1294371,Pete - White fluke,,,,,
Ben,18,3-Jun-18,LMB,Mills shore - North,West Basin,Ben,13:05:00,13:05:30,13:06:00,13:06:20,13:11:15,,,,2,380,368,230,,M,yes,yes,grey,07032,V13,1130,80,160,,L,,T/P,14595,1294373,Dave - C-1 Rapala,no,,62,,
Ben,20,3-Jun-18,LMB,Mills shore - North,West Basin,Ben,13:48:00,13:49:00,,14:04:45,14:09:00,,,,2,465,455,325,,F,yes,yes,grey,07030,V13,1130,80,160,,L,,T/P,14597,1294374,,,Jan-Worm,yes,,
Ben,19,3-Jun-18,LMB,Mills shore - North,West Basin,Ben,13:01:00,13:02:00,,13:54:10,13:58:10,,,,2,420,410,275,,F,yes,yes,grey,07031,V13,1130,80,160,,L,,T/P,14599,1294375,Ben-White fluke,yes,,,,
Jason,8,30-May-18,LMB,Red Trout Bay,West Basin,Jason,12:38:00,12:38:40,,12:39:40,12:44:20,12:49:00,,,2,381,375,220,,M,yes,yes,grey,07006,V13,1584,80,160,,L,,Reg,25884,1294376,Jason - Senko,yes,Nest gaurded by Ben,Z44,,
Ben,1,25-May-18,LMB,Red Trout Bay,West Basin,Ben,16:44:00,16:44:50,16:47:30,16:48:10,16:57:00,17:00:00,45.83666582,-74.78537038,3,380,370,230,,M,yes,yes,grey,07002,V13,1584,80,160,,L,,Reg,25885,1294377,David Philpp-Senko,no,Gaurding nest - No SF,,,
