deploy_date,deploy_time,download_date,download_time,download_group,name,letter_name,name_order,sn,wp_name,lat,long,depth_m,battery_date,basin,local
30-Aug-17,,5-Jul-18,,1,1,O,9,109389,1_a,45.81525,-74.7711,22,20-Aug-17,East Basin,Indian Isl N Shallows
30-Aug-17,,5-Jul-18,,1,2,V,2,132374,2_a,45.78528,-74.7469,42,20-Aug-17,East Basin,NFGC directly in front of white/blue cabin
30-Aug-17,,7-Jul-18,,1,3,R,6,109388,3_a,45.80708,-74.7569,44,20-Aug-17,East Basin,Near Clear Lake
30-Aug-17,,5-Jul-18,,1,4,U,3,132367,4_a,45.79751,-74.7559,20,20-Aug-17,East Basin,220m N of Blueberry Island
30-Aug-17,,4-Jul-18,,1,5,I,15,132365,5_a,45.81656,-74.7804,25,20-Aug-17,West Basin,Off point of Pat Johnson's Island
30-Aug-17,,4-Jul-18,,1,6,J,14,109369,6_a,45.81088,-74.7831,18,20-Aug-17,West Basin,Narrows to Margaret Bay
30-Aug-17,,4-Jul-18,,1,7,G,17,109374,7_a,45.82035,-74.7903,18,20-Aug-17,West Basin,Behind Pine and Cypress Islands
30-Aug-17,,7-Jul-18,,1,8,F,18,132372,8_a,45.83037,-74.7797,15,20-Aug-17,West Basin,In front of McKinnon's house
30-Aug-17,,5-Jul-18,,1,9,M,11,109383,9_a,45.83012,-74.7673,15,20-Aug-17,East Basin,In front of Dio Gardi House
30-Aug-17,,5-Jul-18,,1,10,N,10,132370,10_a,45.82203,-74.7622,30,20-Aug-17,East Basin,NE of front of Levesque
30-Aug-17,,5-Jul-18,,1,11,P,8,132366,11_a,45.81252,-74.7596,64,20-Aug-17,East Basin,Middle of Big Lake
30-Aug-17,,5-Jul-18,,1,12,T,4,132369,12_a,45.79768,-74.7661,10,20-Aug-17,East Basin,Entrance of Black Bay
31-Aug-17,,6-Jul-18,,1,13,A,23,132371,13_a,45.84439,-74.7693,47,20-Aug-17,North Basin,Hamilton Bay between islands
31-Aug-17,,6-Jul-18,,1,14,B,22,132375,14_a,45.85014,-74.7689,38,20-Aug-17,North Basin,Entrance of Bay with Harper Dock
