"Date and Time (UTC)","Receiver","Transmitter","Transmitter Name","Transmitter Serial","Sensor Value","Sensor Unit","Station Name","Latitude","Longitude"
2018-07-07 10:25:48,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:26:41,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:27:55,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 10:28:14,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:29:25,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:29:56,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:31:58,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:32:39,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:37:04,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:37:11,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:40:50,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:42:35,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 10:42:58,"VR2W-109388","A69-1602-25892",NA,1294384,NA,NA,NA,NA,NA
2018-07-07 10:43:17,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:44:42,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:44:58,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:46:09,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 10:46:56,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:47:39,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:49:12,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 10:50:39,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-07 10:50:54,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:51:48,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:52:52,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 10:53:45,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 10:55:23,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 10:55:39,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-07 10:57:39,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 10:57:44,"VR2W-109388","A69-9006-14560",NA,1294355,3.0319,"m",NA,NA,NA
2018-07-07 10:59:26,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:01:35,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:02:48,"VR2W-109388","A69-1602-25898",NA,1294390,NA,NA,NA,NA,NA
2018-07-07 11:05:51,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-07 11:06:41,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:09:04,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:11:05,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:13:40,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:15:35,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-07 11:16:07,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:18:14,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:19:45,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:20:16,"VR2W-109388","A69-9006-14587",NA,1294369,5.983,"°C",NA,NA,NA
2018-07-07 11:20:39,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-07 11:21:19,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:25:08,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:27:51,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:30:30,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:32:58,"VR2W-109388","A69-9006-14560",NA,1294355,2.7287,"m",NA,NA,NA
2018-07-07 11:33:05,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:34:51,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-07 11:35:28,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:42:43,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:45:03,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:46:59,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 11:47:22,"VR2W-109388","A69-9006-14587",NA,1294369,5.6692,"°C",NA,NA,NA
2018-07-07 11:49:24,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 11:50:02,"VR2W-109388","A69-9006-14588",NA,1294369,16.3727,"m",NA,NA,NA
