Time, Fraction, Decimal ID, Hexadecimal ID, Power
44861.7154398,  0.63477, 49921,  C301,     4
44861.7663773,  0.92394,  2269,   8DD,     6
44861.8410301,  0.04130, 27586,  6BC2,     7
44861.9329861,  0.97451, 17543,  4487,    45
44862.3388426,  0.54705,  4735,  127F,     8
44862.3830787,  0.44769, 60537,  EC79,    11
44862.4012616,  0.36470, 28072,  6DA8,     9
44862.5194213,  0.46977, 58119,  E307,     7
44863.1923958,  0.88960,  2269,   8DD,     9
44863.2792593,  0.51804, 49921,  C301,    36
44863.3231713,  0.40324, 59160,  E718,    44
44863.3853472,  0.72993, 60537,  EC79,    20
44863.5748611,  0.34865, 51282,  C852,    43
44863.9232292,  0.78643,  7482,  1D3A,    40
44864.3253009,  0.78633, 54254,  D3EE,     8
44864.3553472,  0.18849, 17543,  4487,    47
44864.3656250,  0.73139, 49678,  C20E,    48
44864.4055093,  0.84688, 28072,  6DA8,    43
44864.5505093,  0.35945, 59160,  E718,    55
44864.5540394,  0.24552, 15424,  3C40,    44
44865.4568171,  0.08285, 58119,  E307,     8
44865.8561458,  0.83234, 25822,  64DE,    10
44866.0532523,  0.87738, 49453,  C12D,     8
44866.1861111,  0.32880,   105,    69,     8
44866.5306713,  0.34461, 59160,  E718,     8
44866.5954051,  0.00583,   586,   24A,     8
44867.0077083,  0.33996, 44510,  ADDE,    13
44867.3789699,  0.49231,  4735,  127F,    10
44867.4655324,  0.55862,   586,   24A,    32
44868.5931134,  0.97374,  7482,  1D3A,    11
44868.8213079,  0.47995, 35587,  8B03,    21
44868.8333681,  0.17429, 36201,  8D69,     9
44869.8172917,  0.07358, 36201,  8D69,    49
44869.8608449,  0.54542, 49921,  C301,     7
44869.8881944,  0.93640, 25150,  623E,    45
44869.9725347,  0.89032, 49921,  C301,    20
44870.1242477,  0.99736, 10970,  2ADA,     7
44870.2118750,  0.83171, 49921,  C301,     7
44870.4255440,  0.81508, 58119,  E307,    10
44871.6811227,  0.52756, 60537,  EC79,     5
44871.7124306,  0.96832, 49921,  C301,     6
44871.8978935,  0.65481, 49921,  C301,    14
44872.6295139,  0.62472, 55827,  DA13,    10
44872.9447685,  0.27393, 26734,  686E,    24
44872.9611343,  0.48374, 58119,  E307,    20
44873.4293519,  0.65167, 58119,  E307,    45
44873.5450926,  0.52036, 49921,  C301,    13
44874.0740046,  0.80087, 15424,  3C40,    47
44874.1606366,  0.83342,   586,   24A,    12
44874.1668634,  0.50347, 60537,  EC79,    45
44875.8061921,  0.22077, 60537,  EC79,    48
44875.8848958,  0.33098, 49921,  C301,    14
44876.0380440,  0.45096, 62357,  F395,    50
44876.0490625,  0.33977, 17441,  4421,    12
44876.2200231,  0.89452, 16725,  4155,    11
44876.4367824,  0.55723, 15424,  3C40,    49
44876.4779745,  0.45760,  7482,  1D3A,    12
44876.9562384,  0.84916,  2269,   8DD,     9
44877.0991551,  0.91660, 63381,  F795,     9
44877.1796296,  0.46204, 60506,  EC5A,    11
44877.3486458,  0.17623, 15424,  3C40,    10
44877.4432986,  0.42552, 63381,  F795,    12
44877.6177546,  0.24379, 15424,  3C40,    13
44878.2367708,  0.24869, 14732,  398C,    49
44878.3715509,  0.88953, 49921,  C301,    24
44878.4417593,  0.56611, 26734,  686E,    12
44878.7130440,  0.13243, 58119,  E307,    48
44878.8846181,  0.51775, 58119,  E307,    13
44878.9899074,  0.08170, 30687,  77DF,    49
44879.8754398,  0.56841, 15424,  3C40,    13
44880.1265972,  0.63115, 14732,  398C,    16
44880.5644444,  0.92879, 49921,  C301,    50
44880.6472569,  0.02630, 15992,  3E78,    31
44880.8170255,  0.49924, 49921,  C301,    14
44881.1308565,  0.48993, 42476,  A5EC,    12
44882.3313079,  0.05268, 10970,  2ADA,    13
44882.4087963,  0.84355, 36201,  8D69,    50
44882.4985417,  0.41798,  4735,  127F,    14
44882.7542130,  0.19089, 60537,  EC79,    14
44882.7785648,  0.75643, 14732,  398C,    15
44882.9331134,  0.28963, 55827,  DA13,    18
44882.9891088,  0.74078, 58119,  E307,    14
44883.2889931,  0.96794, 30687,  77DF,    50
44883.4565856,  0.89930, 25822,  64DE,    13
44883.7754398,  0.88559, 58119,  E307,    14
44884.1474306,  0.62150, 36201,  8D69,    13
44884.1998495,  0.76435,  7482,  1D3A,    13
44884.2962500,  0.80320, 36201,  8D69,    50
