Time, Fraction, Decimal ID, Hexadecimal ID, Power
44865.5982292,  0.33614,   586,   24A,     8
44865.6097338,  0.31574,  4735,  127F,     7
44865.7415741,  0.55540, 49921,  C301,     7
44865.8055093,  0.60746, 58119,  E307,     6
44865.8193634,  0.43576,  7482,  1D3A,     7
44866.2012153,  0.01078, 36201,  8D69,     9
44866.6728356,  0.42904, 58119,  E307,    48
44866.6740162,  0.10634, 15424,  3C40,     8
44866.9816551,  0.83435,   105,    69,     7
44867.1089236,  0.37838, 30687,  77DF,     6
44867.4562037,  0.46672, 60537,  EC79,    13
44868.2585417,  0.15581, 60537,  EC79,    48
44869.1942593,  0.71080, 52869,  CE85,    48
44869.6159606,  0.32270, 17543,  4487,    48
44869.6336921,  0.05299, 25485,  638D,    47
44869.6589931,  0.52766, 58119,  E307,     8
44870.0839815,  0.74383, 58119,  E307,     9
44870.1361574,  0.45590, 58535,  E4A7,    47
44870.1802894,  0.62709, 60537,  EC79,     7
44870.2633102,  0.70046, 58119,  E307,    47
44870.3551273,  0.37610, 14732,  398C,    45
44870.4134606,  0.98224, 36201,  8D69,     8
44871.2246528,  0.12854, 60537,  EC79,    45
44871.8471181,  0.57000, 60537,  EC79,     8
44871.9530440,  0.27141,  4735,  127F,    47
44872.3740625,  0.61567, 15992,  3E78,    44
44873.0542361,  0.19421, 23779,  5CE3,    53
44873.0549421,  0.08803, 23779,  5CE3,    47
44873.0608102,  0.56649, 23779,  5CE3,    40
44873.1056944,  0.98442, 23779,  5CE3,    11
44873.1387384,  0.35369, 15992,  3E78,     8
44873.1650231,  0.26993, 25485,  638D,    40
44873.2430903,  0.95358, 14732,  398C,     8
44873.2938079,  0.65078, 14732,  398C,    49
44873.5129514,  0.85473, 42476,  A5EC,    89
44873.6150694,  0.29981, 15424,  3C40,    54
44874.1301968,  0.77308, 15424,  3C40,    10
44874.5320139,  0.82223, 30639,  77AF,     9
44874.5414120,  0.29436, 41555,  A253,    10
44874.5867130,  0.38608, 49921,  C301,    46
44874.6254514,  0.73233, 17543,  4487,    11
44874.8667708,  0.11062, 29365,  72B5,    23
44875.6155093,  0.06658, 59160,  E718,    10
44876.2330671,  0.18912,  4735,  127F,    10
44877.0966551,  0.92390, 15992,  3E78,    47
44877.8307639,  0.76991, 14732,  398C,     9
44878.2941204,  0.09854, 30687,  77DF,    10
44878.3054051,  0.13591, 15992,  3E78,    26
44878.3828819,  0.78321, 49921,  C301,    11
44878.4526620,  0.38037, 60537,  EC79,    51
44878.8314468,  0.79612, 15424,  3C40,     9
44878.8629977,  0.12506, 30687,  77DF,    50
44878.9516667,  0.25257,  4735,  127F,     9
44879.1450116,  0.30425, 15424,  3C40,     9
44879.8892361,  0.95966, 17722,  453A,    51
44880.2725231,  0.16711, 25485,  638D,    14
44880.3609954,  0.40140, 27586,  6BC2,    10
44880.3952778,  0.11657, 60537,  EC79,    52
44880.4126389,  0.98034, 30687,  77DF,    10
44880.5031250,  0.75830, 57014,  DEB6,    26
44880.8719676,  0.55764, 58535,  E4A7,    13
44880.9003935,  0.71428, 58535,  E4A7,    11
44881.0089815,  0.73384, 35587,  8B03,    51
44881.1208681,  0.42456, 30687,  77DF,    10
44881.1945833,  0.80222, 15992,  3E78,    51
44881.9370023,  0.97454, 58535,  E4A7,    10
44882.3379167,  0.93436, 58535,  E4A7,    11
44882.4751042,  0.59496,  7482,  1D3A,    56
44882.5132523,  0.54945, 17262,  436E,    62
44882.7160532,  0.75787, 30687,  77DF,    11
44882.7614120,  0.86464, 36201,  8D69,    10
44882.8896759,  0.07001, 60537,  EC79,    51
44883.2243287,  0.78871, 49921,  C301,    12
44883.9733796,  0.99546, 25822,  64DE,    12
44883.9913426,  0.23659, 36201,  8D69,    45
44884.0823032,  0.21917, 49453,  C12D,    11
44884.1370255,  0.08124, 58535,  E4A7,    11
44884.2684375,  0.12741, 14732,  398C,    50
44884.7700231,  0.65999, 15424,  3C40,    51
44884.8431019,  0.77553, 60537,  EC79,    13
44885.2144329,  0.06828, 58119,  E307,    17
44885.4287500,  0.06360, 60537,  EC79,    10
44885.5242477,  0.42816, 36201,  8D69,    47
44885.6236343,  0.47359, 17441,  4421,    10
44885.7541204,  0.20695, 10970,  2ADA,    11
44885.8584491,  0.83543, 14732,  398C,    11
44886.0273032,  0.68793, 36201,  8D69,    48
44886.5789583,  0.17851, 49453,  C12D,    52
44886.8149421,  0.88367, 63381,  F795,    12
44887.2017940,  0.28562, 49921,  C301,    10
44887.3057176,  0.90930, 60537,  EC79,    11
44887.4360648,  0.94494, 63381,  F795,    11
44887.5879977,  0.92502, 11596,  2D4C,     9
44888.3657523,  0.07073,  9373,  249D,    52
44888.4052431,  0.97379, 17262,  436E,    11
44889.0007523,  0.88312, 44510,  ADDE,    52
44889.2390972,  0.14097, 15424,  3C40,    48
44889.4698380,  0.57660, 58535,  E4A7,    52
44889.5346991,  0.15991, 14732,  398C,    10
44889.5770023,  0.64516,  2269,   8DD,    10
44889.7257407,  0.67003, 49921,  C301,    14
44889.7839468,  0.15266, 14732,  398C,    52
44890.4723495,  0.96371, 14732,  398C,    17
44890.5982523,  0.94446, 59160,  E718,    54
44890.9147801,  0.34807, 15992,  3E78,    13
44891.0778704,  0.73211, 49921,  C301,    12
44891.5027778,  0.64660, 15992,  3E78,    12
44891.5033449,  0.30557, 14732,  398C,    53
44892.2386343,  0.95315, 60537,  EC79,    43
44892.7190509,  0.03425, 49678,  C20E,    11
44893.0333681,  0.62839, 63925,  F9B5,    13
44893.0477199,  0.29654, 63381,  F795,    11
44893.0555093,  0.92445, 25485,  638D,    11
44893.3567477,  0.53985, 25485,  638D,    54
44893.5353935,  0.01078, 15424,  3C40,    47
44893.7616782,  0.72446, 25485,  638D,    15
44894.4539468,  0.52888, 17262,  436E,    53
44894.4543750,  0.29179, 17543,  4487,    12
44894.5029282,  0.31049, 17543,  4487,    16
44895.0529977,  0.84247, 17543,  4487,    52
44895.0785995,  0.77181, 58119,  E307,    10
44895.3030556,  0.91386,  2269,   8DD,    15
44896.0474769,  0.48871, 49921,  C301,    53
44896.0532523,  0.34668, 58119,  E307,    53
44896.3497454,  0.26952, 17543,  4487,    14
44896.5044444,  0.52838, 49453,  C12D,    12
44896.5327894,  0.13517, 52869,  CE85,    54
44896.6104745,  0.47114, 14732,  398C,    14
44896.6292361,  0.55428, 42185,  A4C9,    54
44896.7092593,  0.23604, 60506,  EC5A,    51
44896.7783333,  0.94055, 15992,  3E78,    14
44896.9217708,  0.55130, 15424,  3C40,    53
44896.9547338,  0.13605,   586,   24A,    24
44897.1018403,  0.10985,   586,   24A,    13
44897.1971528,  0.24636, 49921,  C301,    12
44897.3832407,  0.12379, 49921,  C301,    12
44897.6569792,  0.74174, 15992,  3E78,    52
44897.8268750,  0.52747,  4735,  127F,    12
44897.9886343,  0.17882,  2269,   8DD,    55
44897.9986921,  0.71174, 28072,  6DA8,    51
44898.1294676,  0.14311, 60537,  EC79,    11
44898.2474074,  0.68347, 58535,  E4A7,    16
44898.3897222,  0.11515, 54254,  D3EE,    61
44898.5247917,  0.82682,  4735,  127F,    12
44898.7159375,  0.42086, 42185,  A4C9,    54
44898.9234491,  0.36221, 30687,  77DF,    11
44899.1365741,  0.17798, 60506,  EC5A,    27
44899.5327546,  0.72191, 28072,  6DA8,    50
44899.5675347,  0.52632, 30687,  77DF,    54
44899.8798148,  0.74827, 17543,  4487,    11
44900.1836690,  0.51981, 49921,  C301,    54
44900.2416319,  0.82759, 63925,  F9B5,    13
44900.2458449,  0.44059,  7482,  1D3A,    55
44900.3881134,  0.99282, 58119,  E307,    15
44900.8068287,  0.55752, 49453,  C12D,    12
44900.8547454,  0.96059, 15424,  3C40,    52
44900.9207986,  0.91862, 14732,  398C,    12
44900.9438773,  0.20690, 60506,  EC5A,    12
44901.2622222,  0.55209, 15424,  3C40,    54
44901.4413773,  0.40641, 14732,  398C,    54
44901.9577894,  0.12353, 49921,  C301,    13
44902.0892245,  0.98858, 15424,  3C40,    12
44902.8542014,  0.53546, 17543,  4487,    54
44903.1613310,  0.36101, 23779,  5CE3,    24
44903.6695486,  0.41880,  7482,  1D3A,    13
44903.7505787,  0.69189, 62357,  F395,    11
44903.8909491,  0.90095,   105,    69,    14
44904.1550926,  0.22387, 15424,  3C40,    12
44904.2012616,  0.44664, 58119,  E307,    11
44904.2763426,  0.69345, 35587,  8B03,     9
44904.4209606,  0.11213, 35587,  8B03,    12
44904.4371875,  0.16423, 15424,  3C40,    14
44904.5407986,  0.94487, 15992,  3E78,    11
44904.6173148,  0.63136, 28072,  6DA8,    21
44904.6812384,  0.40192, 21757,  54FD,    53
44904.6942014,  0.28070, 17543,  4487,    13
44904.8029745,  0.67456, 27586,  6BC2,    54
44905.4039005,  0.16526, 23779,  5CE3,    12
44905.7393171,  0.80764, 35587,  8B03,    55
44906.0166667,  0.87503, 60537,  EC79,    38
44906.3247106,  0.51753, 49921,  C301,    13
44907.1380324,  0.61970, 30687,  77DF,    55
44907.9666667,  0.94454, 17543,  4487,    12
44907.9907755,  0.68829, 21757,  54FD,    12
44908.0628588,  0.39048, 44510,  ADDE,    59
44908.4880093,  0.43130,  4735,  127F,    28
44908.5253819,  0.82838, 49921,  C301,    23
44908.5581713,  0.85502, 49921,  C301,    27
44908.9558218,  0.85557, 15424,  3C40,    27
44909.3477199,  0.46015, 29365,  72B5,    29
44909.5111227,  0.92678, 17262,  436E,    30
44909.5211574,  0.23448, 60537,  EC79,    28
44909.5549421,  0.31833, 15992,  3E78,    29
44910.2780208,  0.92716, 58119,  E307,    26
44910.2890046,  0.68817, 17543,  4487,    28
44910.3657523,  0.30941, 14732,  398C,    64
44910.5377199,  0.74241, 49921,  C301,    28
44910.8102778,  0.39880, 60506,  EC5A,     6
44910.9351968,  0.49591, 49921,  C301,    38
44911.0058102,  0.01267, 54254,  D3EE,    50
44911.2344676,  0.32073, 36201,  8D69,     4
