"Date and Time (UTC)","Receiver","Transmitter","Transmitter Name","Transmitter Serial","Sensor Value","Sensor Unit","Station Name","Latitude","Longitude"
2017-09-12 11:33:48,"VR2W-109369","A69-9002-10683",NA,1193450,0.828868,"m/s²","Station 21c",NA,NA
2017-09-12 11:41:45,"VR2W-109369","A69-9002-10683",NA,1193450,0.040764,"m/s²","Station 21c",NA,NA
2017-09-12 11:43:21,"VR2W-109369","A69-9002-10683",NA,1193450,0.054352,"m/s²","Station 21c",NA,NA
2017-09-12 11:44:58,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 11:46:37,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 11:48:18,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 11:50:08,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 11:52:15,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 11:59:53,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 12:04:26,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 12:06:57,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:08:56,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:11:19,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:12:59,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 12:14:47,"VR2W-109369","A69-9002-10683",NA,1193450,0.054352,"m/s²","Station 21c",NA,NA
2017-09-12 12:16:52,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 12:21:28,"VR2W-109369","A69-9002-10683",NA,1193450,0.054352,"m/s²","Station 21c",NA,NA
2017-09-12 12:24:01,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 12:26:01,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:28:27,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 12:30:14,"VR2W-109369","A69-9002-10683",NA,1193450,0.054352,"m/s²","Station 21c",NA,NA
2017-09-12 12:32:15,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:34:43,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 12:36:34,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:38:41,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:41:20,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:43:34,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:46:29,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 12:49:13,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:51:40,"VR2W-109369","A69-9002-10683",NA,1193450,0.095116,"m/s²","Station 21c",NA,NA
2017-09-12 12:53:30,"VR2W-109369","A69-9002-10683",NA,1193450,0.095116,"m/s²","Station 21c",NA,NA
2017-09-12 12:55:35,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 12:58:11,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 13:00:17,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 13:02:57,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 13:05:12,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 13:08:10,"VR2W-109369","A69-9002-10683",NA,1193450,0.06794,"m/s²","Station 21c",NA,NA
2017-09-12 13:11:01,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 13:13:42,"VR2W-109369","A69-9002-10683",NA,1193450,0.095116,"m/s²","Station 21c",NA,NA
2017-09-12 13:15:57,"VR2W-109369","A69-9002-10683",NA,1193450,0.081528,"m/s²","Station 21c",NA,NA
2017-09-12 13:21:46,"VR2W-109369","A69-9002-10683",NA,1193450,0.896808,"m/s²","Station 21c",NA,NA
2017-09-12 13:26:41,"VR2W-109369","A69-9002-10683",NA,1193450,1.372388,"m/s²","Station 21c",NA,NA
2017-09-12 13:29:37,"VR2W-109369","A69-9002-10683",NA,1193450,0.842456,"m/s²","Station 21c",NA,NA
2017-09-12 13:32:24,"VR2W-109369","A69-9002-10683",NA,1193450,0.733752,"m/s²","Station 21c",NA,NA
2017-09-12 15:28:48,"VR2W-109369","A69-9002-10683",NA,1193450,0.652224,"m/s²","Station 21c",NA,NA
2017-09-12 15:34:08,"VR2W-109369","A69-9002-10683",NA,1193450,0.788104,"m/s²","Station 21c",NA,NA
2017-09-12 15:36:09,"VR2W-109369","A69-9002-10683",NA,1193450,0.448404,"m/s²","Station 21c",NA,NA
2017-09-12 15:48:41,"VR2W-109369","A69-9002-10683",NA,1193450,0.27176,"m/s²","Station 21c",NA,NA
2017-09-12 15:51:12,"VR2W-109369","A69-9002-10683",NA,1193450,0.366876,"m/s²","Station 21c",NA,NA
2017-09-12 15:53:09,"VR2W-109369","A69-9002-10683",NA,1193450,0.47558,"m/s²","Station 21c",NA,NA
2017-09-12 15:55:29,"VR2W-109369","A69-9002-10683",NA,1193450,0.434816,"m/s²","Station 21c",NA,NA
2017-09-12 15:58:53,"VR2W-109369","A69-9002-10683",NA,1193450,0.244584,"m/s²","Station 21c",NA,NA
2017-09-12 16:00:49,"VR2W-109369","A69-9002-10683",NA,1193450,0.394052,"m/s²","Station 21c",NA,NA
2017-09-12 16:03:03,"VR2W-109369","A69-9002-10683",NA,1193450,0.285348,"m/s²","Station 21c",NA,NA
2017-09-12 16:06:00,"VR2W-109369","A69-9002-10683",NA,1193450,0.502756,"m/s²","Station 21c",NA,NA
2017-09-12 16:08:50,"VR2W-109369","A69-9002-10683",NA,1193450,0.529932,"m/s²","Station 21c",NA,NA
2017-09-12 16:13:31,"VR2W-109369","A69-9002-10683",NA,1193450,0.448404,"m/s²","Station 21c",NA,NA
2017-09-12 16:16:05,"VR2W-109369","A69-9002-10683",NA,1193450,0.40764,"m/s²","Station 21c",NA,NA
2017-09-12 16:18:12,"VR2W-109369","A69-9002-10683",NA,1193450,0.625048,"m/s²","Station 21c",NA,NA
